2024-08-29 23:31:42,862 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,866 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_CLOSE_WRITE, cookie=0, name='game.log'>
2024-08-29 23:31:42,866 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log.3', wd=5, mask=IN_DELETE, cookie=0, name='game.log.3'>
2024-08-29 23:31:42,867 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log.2', wd=5, mask=IN_MOVED_FROM, cookie=8242, name='game.log.2'>
2024-08-29 23:31:42,867 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log.3', wd=5, mask=IN_MOVED_TO, cookie=8242, name='game.log.3'>
2024-08-29 23:31:42,868 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log.1', wd=5, mask=IN_MOVED_FROM, cookie=8243, name='game.log.1'>
2024-08-29 23:31:42,869 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log.2', wd=5, mask=IN_MOVED_TO, cookie=8243, name='game.log.2'>
2024-08-29 23:31:42,870 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MOVED_FROM, cookie=8244, name='game.log'>
2024-08-29 23:31:42,870 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log.1', wd=5, mask=IN_MOVED_TO, cookie=8244, name='game.log.1'>
2024-08-29 23:31:42,871 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_CREATE, cookie=0, name='game.log'>
2024-08-29 23:31:42,871 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_OPEN, cookie=0, name='game.log'>
